entity_id;area;type;status;state;priority;ticket_number;name;create_date;created_by;update_date;updated_by;parent_ticket_id;assignee;owner;due_date;rank;estimation;spent;workgroup;resolution
2503655;Система.Ошибки;Задача;Закрыто;Normal;Средний;PPIN-2166;[BE] Синхронизация стандартных решений из Система.ГенераторДокументов;2023-10-27 08:14:56.463409;А. З.;2024-07-22 13:10:34.908571;А. Е.;102481;А. М.;;;0|qxxrd4:;;;Новая функциональность;Готово
2536878;Система.Вики;Дефект;Закрыто;Normal;Средний;PPWI-2827;"[Дефект] [FE] Теги. При тегировании несуществующего пользователя нет текста ""Нет совпадений""";2023-11-07 08:54:09.885950;Н. К.;2024-08-06 05:10:40.901890;М. Д.;173661;М. Д.;Н. К.;;0|qxtqa8:;28800;7200;;Готово
2540151;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-4085;[US] Импорт документа формата DOCX;2023-11-07 11:14:18.895973;Н. С.;2024-09-11 08:29:51.809354;Н. С.;4463870;Н. С.;Н. С.;;0|qxt6m8:;;;Новая функциональность;Готово
2582366;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-4479;[FE] [PREPROD](fixed 1.28.0) Бэклог. Не работает ввод пробела при поиске спринтов в панели спринтов;2023-11-09 08:31:36.854029;В. И.;2024-10-25 09:15:45.884875;О. У.;;А. К.;В. И.;;0|qxm848:;;;;Готово
2623949;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-2981;[QA] Внешний API (error responses);2023-11-20 11:00:40.779422;Д. С.;2024-07-31 09:22:53.938131;И. М.;2623875;А. К.;Д. С.;;0|qsgb64:9;28800;;Новая функциональность;
2824925;Система.Ошибки;История;Закрыто;Normal;Высокий;PPIN-2444;[ML Инц-2] Группировка инцидентов с помощью ML-модели;2023-12-11 06:50:28.059859;В. Ц.;2024-08-06 19:30:16.710853;;3508099;А. Е.;В. Ц.;;0|qyb797:zr;144000;;Новая функциональность;Готово
2840563;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-4895;[FE] Таск трекер. Задублированные запросы personal-settings с фронта на представлениях Таск трекер и Бэклог;2023-12-12 09:06:17.623598;А. К.;2024-09-02 11:41:38.380514;А. К.;72779;А. К.;А. К.;;0|qwfnfw:;;;;Готово
2867204;Система. Движок;Задача;Создано;Normal;Средний;PPFW-1314;[QA] API v1 Получение полной сущности со смаппленными кодами на универсальную модель справочника ;2023-12-13 15:43:58.287432;Н. Н.;2024-07-10 08:10:46.949956;Н. Н.;2435333;Н. Н.;Н. К.;;0|qwbal8:;57600;;Линейная деятельность;
2887761;Система.ХранениеАртефактов;Дефект;Исправление;Normal;Средний;PPAR-4466;[СДок][BE][Иерархия заголовков] Разный шрифт для заголовков;2023-12-15 06:09:42.754645;В. С.;2024-07-03 14:32:01.022170;О. Н.;;В. М.;В. С.;;0|qw7wxg:;7200;3600;;
2938657;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-5013;[FE] История изменений. Метки и компоненты. Некорректно отображение состава и статуса изменений меток и компонентов в истории изменений;2023-12-19 14:18:58.101273;А. Д.;2024-09-09 12:51:53.466795;Я. П.;;Я. П.;А. Д.;;0|qvzjws:;;;;Готово
2970791;Система.Таск-трекер;Дефект;Тестирование;Normal;Низкий;PPTS-5064;[FE] Структура. Нельзя закрыть выпадающие списки в окне создания и редактирования структуры кликом на шеврон для раскрытия/ закрытия списка;2023-12-20 19:47:52.109180;А. К.;2024-11-05 15:01:56.930510;А. К.;;А. К.;А. К.;;0|qvudto:;;;;
2980909;Система.Ошибки;Задача;Выполнено;Normal;Средний;PPIN-2512; [QA] Интеграция Система.Конфигурации;2023-12-22 07:20:53.767815;А. З.;2024-08-29 13:51:13.629733;А. С.;76958;А. С.;А. З.;;0|qvsonk:;144000;;Новая функциональность;Готово
2995479;Система.ХранениеАртефактов;Дефект;Исправление;Normal;Средний;PPAR-4648;"[С-док][FE][Анкета]  ""Представление модели части объекта"" - расширение файла";2023-12-27 10:01:36.303427;О. Н.;2024-07-08 02:38:59.424935;Р. А.;;В. М.;О. Н.;;0|qvq7tc:;14400;10800;;
3027722;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-5186;[FE] Конструктор фильтров. Функция me() подставляется в некорректное место в запросе , если она была выбрана внутри дропдауна;2024-01-11 09:58:31.351726;А. К.;2024-08-09 07:30:48.433183;Я. П.;;Я. П.;А. К.;;0|qvkt4k:;;;;Готово
3051159;Система.Таск-трекер;Задача;Создано;Normal;Средний;PPTS-5239;[AQA] Обновить в тестовых сущностях поля, связанные с релизами;2024-01-16 11:53:15.326378;Я. П.;2024-07-31 09:00:21.453097;Д. М.;;Д. М.;Я. П.;;0|qvgw8s:;28800;;Линейная деятельность;
3057885;Система.Ошибки;Задача;Закрыто;Normal;Средний;PPIN-2571;[FE] Группировка инцидентов с помощью ИИ;2024-01-16 16:55:07.307915;А. З.;2024-07-25 09:49:21.487656;А. М.;2824925;А. М.;А. З.;;0|qvfsv8:;;;Новая функциональность;Готово
3127873;Система. Движок;Дефект;Закрыто;Normal;Средний;PPFW-1632;[BE] API v1  entity-types. Некорректный текст сообщения при обновлении не обновляемого атрибута типа сущности;2024-01-29 12:37:45.093495;И. Т.;2024-10-31 09:09:57.157738;V. V.;161557;V. V.;Н. Н.;;0|qv48r0:;;;;Готово
3130955;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-5104;[US] Создание плагина для юридических документов;2024-01-29 16:40:49.591422;Н. К.;2024-08-09 13:23:35.301439;Н. К.;4187689;Н. К.;О. К.;;0|qv3q7c:;3600;;Архитектурная задача;Готово
3185895;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-3760;[QA] Скролл в таблице;2024-02-01 13:01:04.825119;А. П.;2024-07-03 07:52:12.202239;А. П.;3187777;А. М.;А. П.;;0|qrleze:;57600;;Новая функциональность;Готово
3206897;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-3847;[FE][Техдолг] Проработать механизм работы с моками;2024-02-07 14:21:30.662715;И. М.;2024-07-26 10:27:06.768782;И. К.;4098420;Е. К.;И. М.;;0|qurceg:;57600;57600;Новая функциональность;Готово
3207618;Система.Вики;История;Закрыто;Normal;Средний;PPWI-3852;Макрос Код iframe;2024-02-07 17:04:36.909436;Д. С.;2024-09-24 11:07:24.795698;И. М.;4098238;;Д. С.;;0|qt2xvi:2;60;;Новая функциональность;
3207737;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-5575;[FE] Структура. Фронт не запрашивает порцию задач с page=0 после добавления/ удаления колонки на экране;2024-02-07 18:29:12.771209;А. К.;2024-09-03 09:11:02.715916;А. К.;;А. К.;А. К.;;0|qur7b4:;;;;Готово
3315188;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-5773;[BE]Структура. Не обновляется updateDate после изменения структуры.;2024-02-26 11:23:06.737659;Д. М.;2024-07-29 10:43:17.837142;А. К.;;А. К.;Д. М.;;0|qu9pvy:;14400;14400;;Готово
3332524;Система.Таск-трекер;Задача;Создано;Normal;Средний;PPTS-5822;[BE] Инвистигация АПИ ОПС для виджета NPS;2024-02-27 13:35:51.770474;А. С.;2024-09-24 09:10:33.245341;В. Р.;4968286;А. С.;М. В.;;0|qu6xvy:;28800;;Новая функциональность;
3335475;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4125;[FE] [Макрос Код iframe] Добавление макроса, редактирование, шторка;2024-02-27 15:10:45.548397;Д. М.;2024-07-31 08:58:58.862455;Д. М.;3207618;Е. К.;Д. М.;;0|qt2xvi:9;28800;86400;Новая функциональность;Готово
3335507;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4126;[FE] [Макрос Код iframe] Ресайз (рамка + абсолютное значение);2024-02-27 15:12:13.803034;Д. М.;2024-07-31 08:58:37.576615;Д. М.;3207618;Е. К.;Д. М.;;0|qt2xvi:i;14400;28800;Новая функциональность;Готово
3335563;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4129;[FE] [Макрос Код iframe] Запрет на взаимодействие с другими макросами;2024-02-27 15:14:34.679974;Д. М.;2024-07-31 08:58:16.740361;Д. М.;3207618;Е. К.;Д. М.;;0|qt2xvk:;28800;28800;Новая функциональность;Готово
3335577;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4130;[FE] [Макрос Код iframe] Запрет на копирование макроса;2024-02-27 15:15:02.822750;Д. М.;2024-07-31 08:57:01.255100;Д. М.;3207618;Е. К.;Д. М.;;0|qt2xvm:;14400;14400;Новая функциональность;Готово
3335613;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4131;[QA] [Макрос Код iframe] Тест кейсы ;2024-02-27 15:16:29.870674;Д. М.;2024-08-13 07:09:49.662716;А. П.;3207618;А. П.;Д. М.;;0|qt39wi:;144000;;Новая функциональность;Готово
3385299;Система.Таск-трекер;Дефект;Закрыто;Normal;Высокий;PPTS-5888;[BE] Карточка Таск трекер. Статус код 500 при загрузке вложений;2024-03-04 11:11:59.935119;А. К.;2024-10-07 13:12:52.279492;А. К.;;А. К.;А. К.;;0|qtyydi:;;;;Отменен инициатором
3421421;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-5747;[US]  3 типа списка в сравнениях текстового фрагмента + экран сравнения публикаций;2024-03-12 10:26:22.368096;П. Л.;2024-08-13 12:06:14.680704;Н. С.;85537;Н. С.;П. Л.;;0|qtt6g6:;;;Новая функциональность;Готово
3424881;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-5766;[US] Импорт многоуровневых списков в текстовый фрагмент;2024-03-12 12:05:07.356328;А. Я.;2024-08-13 12:06:50.970128;Н. С.;3556919;Н. С.;П. Л.;;0|qtsmzi:;3600;;Новая функциональность;Готово
3481977;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6028;[BE] Структура. Создание структуры без привязки к пространству.;2024-03-15 05:56:38.230546;Д. М.;2024-08-09 10:23:00.971318;Д. М.;;Д. М.;Д. М.;;0|qtjmxq:;;;;Готово
3482014;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6029;[BE] Структура. Создание структуры к несуществующему пространству.;2024-03-15 06:05:03.677608;Д. М.;2024-08-09 10:23:08.606507;Д. М.;;Д. М.;Д. М.;;0|qtjmpi:;;;;Готово
3493071;Система.Вики;Дефект;Закрыто;Normal;Средний;PPWI-4320;"  [Дефект] [FE]  Не работает инлайн -комментарий  в заголовке макроса ""Акцентированный блок""";2024-03-18 10:44:32.706878;А. М.;2024-08-06 06:48:35.102377;А. П.;;А. П.;А. М.;;0|qthtga:;28800;;;Готово
3502800;Система.ХранениеАртефактов;Дефект;Анализ;Normal;Низкий;PPAR-5858;[С-док][Создание документа] При выходе из просмотра документа, в теле документа отображаются спец. символы;2024-03-19 12:33:51.342588;М. Д.;2024-07-03 06:54:00.136926;Р. А.;;Р. А.;М. Д.;;0|qtg76i:;;;;
3508978;Система.Таск-трекер;Дефект;Закрыто;Normal;Высокий;PPTS-6055;[FE] Структура. Приложение зависает, если добавить/ удалить колонку в структуре и в этой структуре под её настройки попало менее 51-й Таск трекер;2024-03-20 09:55:00.175616;А. К.;2024-08-09 07:42:36.832713;Я. П.;;Я. П.;А. К.;;0|qtf5ni:;;;;Готово
3516665;Система.Таск-трекер;Дефект;Анализ;Normal;Высокий;PPTS-6063;[BE] Не обновляются данные пользователя в entities.properties если данные пользовтаеля изменились в users (в AD);2024-03-21 08:10:18.076288;Я. П.;2024-09-09 08:58:28.404940;Я. П.;;;Д. Б.;;0|qtdux2:;;0;;
3533870;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6085;[BE] Фильтрация. Не работает поиск пользователей в поле Исполнитель;2024-03-22 14:54:42.720733;А. К.;2024-08-13 11:41:43.626308;Я. П.;;Я. П.;Я. П.;;0|qtaz4e:;;;;Готово
3549113;Управление релизами изменениями;Дефект;Анализ;Normal;Низкий;PPRC-1868;[PPRC 2.0] [ST][PREPROD] Таблица. В табличном отображении по умолчанию отображаются все колонки.;2024-03-25 15:00:59.446405;Е. Б.;2024-09-13 12:36:08.268050;Е. Б.;;;Е. Б.;;0|qt3h21:d;;;;
3549401;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-5920;[US] Редактор шаблонов. Настройка обязательности атрибутов шаблона;2024-03-25 15:13:42.167080;О. К.;2024-08-20 07:50:13.730515;Н. К.;4318716;Н. К.;А. К.;;0|qt8h7a:;;;Новая функциональность;Готово
3588880;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4433;[FE][Техдолг]  Удалить старый код по черновику;2024-03-27 08:47:55.933881;В. Т.;2024-07-26 09:03:14.334633;Д. Б.;4098420;Д. Б.;И. М.;;0|qt28ie:;14400;3600;Новая функциональность;Готово
3604826;Система. Движок;Дефект;Тестирование;Normal;Средний;PPFW-2026;[BE] GET  v1/entitites/{entityNum}/attributes/relations/{id} с несуществующей сущностью в entityNum возвращает 200;2024-03-27 13:14:07.940230;Н. Н.;2024-09-20 09:46:52.963750;Н. Н.;3483928;Н. Н.;Н. Н.;;0|qszp92:;;;;
3620274;Управление релизами изменениями;Дефект;Закрыто;Normal;Низкий;PPRC-1892;"[PPRC][PREPROD]МП. Веха ""Провести ИФТ"" скорректировать уведомление ";2024-03-28 08:18:22.176134;К. Я.;2024-08-02 09:22:08.384721;;;К. Я.;К. Я.;;0|qsx75i:;;;;Готово
3625924;Система.ХранениеАртефактов;Дефект;Закрыто;Normal;Средний;PPAR-6029;[С-док][FE][Цветная Валидация]При сохрании раздела с файлом без подписи нет цветной валидации;2024-03-28 13:08:06.666825;О. Н.;2024-09-13 12:01:30.620892;К. Г.;;Р. А.;О. Н.;;0|qsw95a:;57600;;;Отменен инициатором
3626050;Система.ХранениеАртефактов;Дефект;Исправление;Normal;Средний;PPAR-6030;[С-док][FE][Цветная Валидация]Поля с файлами и подписью не подсвечиваются при разных названиях ;2024-03-28 13:12:47.556631;О. Н.;2024-07-18 05:58:58.558042;Р. А.;;Р. А.;О. Н.;;0|qsw8f2:;;;;
3641264;Управление релизами изменениями;Дефект;Закрыто;Normal;Низкий;PPRC-1904;[PPRC][PREPROD] Модуль процессов. Отсутствует информация в тосте о количестве задач, не прошедших проверку ;2024-03-31 08:48:05.883882;В. С.;2024-08-02 09:22:08.390062;;;К. Я.;В. С.;;0|qstq0m:;;;;Готово
3641304;Управление релизами изменениями;Дефект;Закрыто;Normal;Низкий;PPRC-1907;[PPRC][PREPROD] Модуль процессов. В тосте о количестве задач, не прошедших проверку лишний текст ;2024-03-31 09:41:14.675836;В. С.;2024-08-02 09:22:08.393549;;;В. С.;В. С.;;0|qstprq:;;;;Готово
3671384;Управление релизами изменениями;Дефект;Закрыто;Normal;Средний;PPRC-1919;[PPRC][PREPROD] МП. При отсутствии значения атрибута Использует ДК по ИС всплывает сообщение с нечитаемой ошибкой ;2024-04-03 06:53:15.793085;В. С.;2024-08-02 09:22:08.396922;;;К. Я.;В. С.;;0|qsossy:;;;;Готово
3675079;Управление релизами изменениями;Дефект;Закрыто;Normal;Низкий;PPRC-1922;[PPRC][PREPROD] МП. Отсутствует тост об успешном выполнении запроса после получения ответа от МП;2024-04-03 10:12:37.210622;В. С.;2024-08-21 14:50:33.246476;;;В. С.;В. С.;;0|qso7oy:;;;;Готово
3681164;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6300;[BE] История изменений. Отображается пустая история изменений удалении файла, который имеет то же имя и расширение, как и ранее удаленный;2024-04-03 14:49:16.539722;Я. П.;2024-08-02 07:51:32.631664;Я. П.;;Я. П.;Я. П.;;0|qsn9oy:;;;;Готово
3681209;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6301;[BE] История изменений. Отображается некорректная история изменений при удалении ВСЕХ вложений;2024-04-03 14:52:05.649823;Я. П.;2024-08-02 07:51:24.360254;Я. П.;;Я. П.;Я. П.;;0|qsn9fu:;;28800;;Готово
3689670;Система.Таск-трекер;Задача;Закрыто;Normal;Средний;PPTS-6314;[QA] APIv1. Тестирование + тест дизайн. Получение /v1/sprints;2024-04-04 10:09:14.050675;Я. П.;2024-09-24 12:05:38.111007;А. К.;;А. К.;Я. П.;;0|qsluxa:;57600;;Линейная деятельность;Готово
3701003;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6348;[BE] Один и тот же статус можно использовать в разных колонках;2024-04-05 06:20:59.242159;Т. С.;2024-09-05 15:13:55.839657;Я. П.;;Я. П.;Т. С.;;0|qsk002:;;;;Готово
3723915;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6111;[US] Экспорт многоуровневых списков в табличных фрагментах;2024-04-08 11:33:53.687676;А. Я.;2024-08-13 12:05:59.046436;Н. С.;3556919;Н. С.;П. Л.;;0|qsg8ma:;3600;;Новая функциональность;Готово
3724161;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6113;[US] Импорт многоуровневых списков в табличный фрагмент;2024-04-08 11:44:00.262648;А. Я.;2024-08-13 12:05:40.903549;Н. С.;3556919;Н. С.;П. Л.;;0|qsg75u:;3600;;Новая функциональность;Готово
3725698;Система.Вики;История;Закрыто;Normal;Средний;PPWI-4517;Таблицы. Копирование строк/столбцов;2024-04-08 12:55:31.169161;И. М.;2024-09-23 23:11:33.092452;И. М.;4098305;;И. М.;;0|qsfy2a:;950400;;Новая функциональность;
3749735;Система.ХранениеАртефактов;Дефект;Отложен;Normal;Низкий;PPAR-6210;[С-док][FE][Анкета] Скролл к разделу не происходит ;2024-04-09 16:14:40.058021;О. Н.;2024-08-22 07:31:58.957437;О. Н.;;В. Ю.;О. Н.;;0|qscad2:;;10800;;
3757374;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4578;[QA] Внешний API. Общее: трассировка запрсоов (X-Request-Id);2024-04-10 08:06:56.051044;Д. С.;2024-07-31 09:22:40.627931;И. М.;3662544;А. К.;Д. С.;;0|qsb1rq:;28800;;;
3781039;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6256;[ПЗ][US] Переезд в контур Компания;2024-04-11 07:52:46.882743;О. К.;2024-09-10 14:06:59.001281;Н. К.;4119514;Н. К.;Н. К.;;0|qs79um:;3600;3600;Технический долг;Готово
3791006;Система.Таск-трекер;Дефект;Закрыто;Normal;Средний;PPTS-6505;[BE] Структура. GET/ fields. В ответе приходит по 2 поля spent, estimation, remainder;2024-04-12 13:48:18.905557;А. К.;2024-09-24 11:49:38.804444;А. К.;;А. К.;А. К.;;0|qs5l7y:;;;;Готово
3796983;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4619;[UX] Макрос: Календарь;2024-04-15 13:03:01.036545;В. М.;2024-07-16 12:54:09.825006;В. М.;3233636;В. М.;В. М.;;0|qs4l6i:;115200;115200;;Готово
3797131;Система.Таск-трекер;Задача;Выполнено;Normal;Средний;PPTS-6511;[FE] Учёт рабочего времени. История изменений по модулю учёта рабочего времени;2024-04-15 13:19:55.927049;В. Р.;2024-09-05 11:49:09.918811;Я. П.;3109392;Т. С.;В. Р.;;0|qs4kaq:;57600;;Новая функциональность;Готово
3798425;Система. Движок;Дефект;Закрыто;Normal;Средний;PPFW-2177;[FE] [Управления сущностями] Не обрабатывается ошибка когда данные с бэка не подгружаются;2024-04-15 17:06:34.625388;И. Т.;2024-07-04 12:17:20.490929;И. Т.;2090672;И. Т.;И. Т.;;0|qs4cj6:;;;;Готово
3799650;Система.Вики;Задача;Закрыто;Normal;Средний;PPWI-4624;[AQA] Техдолг по макросу Акцентированный блок;2024-04-16 07:45:26.296246;А. П.;2024-09-17 19:38:29.879152;Н. К.;;Н. К.;А. П.;;0|qs451e:;28800;28800;Линейная деятельность;Готово
3803163;Система.Таск-трекер;Задача;Закрыто;Normal;Высокий;PPTS-6524;[AQA] Автоматизация тест-кейсов по Структуре (FE);2024-04-16 14:34:15.924269;Я. П.;2024-09-10 11:16:45.809695;Я. П.;;Я. П.;Я. П.;;0|qs3jqa:;86400;86400;Линейная деятельность;Готово
3815067;Система.Таск-трекер;Задача;Закрыто;Normal;Средний;PPTS-6555;[AQA] Автоматизация общих тест-кейсов для представления 'Доски'.;2024-04-19 06:53:19.154503;Б. П.;2024-07-15 07:18:44.258559;Д. Г.;;Д. Г.;Б. П.;;0|qs1jra:;86400;86400;Линейная деятельность;Готово
3815680;Управление релизами изменениями;Дефект;Закрыто;Normal;Средний;PPRC-1998;[PPRC][PREPROD] МП. При повторном действии по МП во время его выполнения всплывает неинформативное сообщение с ошибкой;2024-04-19 07:56:01.473946;В. С.;2024-08-22 11:30:50.666747;В. С.;;В. С.;В. С.;;0|qs0up5:zx;;;;Готово
3818307;Система.ХранениеАртефактов;Дефект;Закрыто;Normal;Низкий;PPAR-6329;[С-док][FE]При скачивании файла/подписи файла на кнопках крутится лоадер;2024-04-19 12:49:30.880093;М. Д.;2024-07-03 06:21:52.114444;О. Н.;;О. Н.;М. Д.;;0|qs104i:;;;;Готово
3818753;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4664;[QA] Виджет Недавние действия. Тести рование и тест кейсы;2024-04-19 13:36:30.043830;Д. М.;2024-07-15 07:41:22.786592;А. П.;3729198;А. К.;Д. М.;;0|qq8p1w:1;144000;;;Готово
3823975;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6333;[US] Возможность редактирования/сохранения полей в анкете шаблона (число, текст, дата, деньги) ;2024-04-22 09:17:36.906278;Р. Е.;2024-09-17 14:05:40.140643;М. Н.;3549112;Н. К.;Н. К.;;0|qs01sq:;3600;3600;Новая функциональность;Готово
3824296;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6336;[UX] Возможность создания и редактирования полей в анкете шаблона  (справочник (одиночный и множественный выбор)) ;2024-04-22 09:41:06.116117;Р. Е.;2024-08-30 05:07:35.349469;О. К.;3549112;Ф. Л.;Е. З.;;0|qrzzx6:;43200;;Новая функциональность;Готово
3825345;Система.Таск-трекер;Задача;Закрыто;Normal;Средний;PPTS-6582;[QA] Тест дизайн + тестирование (BE) - Создание дочерней и связанной Таск трекер из родительской;2024-04-22 11:22:00.112620;Я. П.;2024-07-16 12:18:00.989514;А. К.;3576294;А. К.;Я. П.;;0|qrhs90:;28800;57600;Новая функциональность;Готово
3826504;Система.ХранениеАртефактов;Задача;Закрыто;Normal;Средний;PPAR-6348;[US] Редактор шаблонов. Копирование и вставка группы с включенными детьми;2024-04-22 12:48:53.514965;Р. Е.;2024-08-20 07:41:32.757327;Н. К.;4318716;Н. К.;А. К.;;0|qrzn1m:;;;Новая функциональность;Готово
3828992;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4680;[QA] Внешний API. Поиск страниц - POST /pages/get-by-id;2024-04-22 16:23:12.228841;Д. С.;2024-08-13 20:15:23.729309;А. К.;3813700;А. К.;Д. С.;;0|qrz8du:;28800;;;Готово
3829019;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4682;[FE] Таблицы. Копирование строк/столбцов, корнер кейсы;2024-04-22 16:32:00.749873;А. П.;2024-07-16 11:06:07.829267;И. С.;3725698;И. С.;А. П.;;0|qr3i4n:i;86400;86400;;Готово
3829030;Система.Вики;Подзадача;Закрыто;Normal;Средний;PPWI-4683;[FE] Таблицы. Копирование строк/столбцов через hotkeys;2024-04-22 16:34:20.226459;А. П.;2024-07-11 08:31:32.128493;И. М.;3725698;И. С.;А. П.;;0|qr3i4n:;28800;25200;;Готово
